00:00:00  1647MB         |  mtoa_shaders.dll: MayaTripleShadingSwitch uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaQuadShadingSwitch uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaFluidData uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaFluidTexture2D uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaSurfaceLuminance uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MtoaCameraUvMapper uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaFlatClosure uses Arnold 5.0.1.3
00:00:00  1649MB         |  [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders\mtoa_shaders.mtd
00:00:00  1649MB         |  renderSetup_shaders.dll: applyAbsFloatOverride uses Arnold 5.0.1.3
00:00:00  1646MB         |  renderSetup_shaders.dll: applyAbs2FloatsOverride uses Arnold 5.0.1.3
00:00:00  1648MB         |  renderSetup_shaders.dll: applyAbs3FloatsOverride uses Arnold 5.0.1.3
00:00:00  1647MB         |  synColor_shaders.dll: color_manager_syncolor uses Arnold 5.0.1.3
00:00:00  1646MB         |  xgenSpline_shaders.dll: XGenHairMapping uses Arnold 5.0.1.3
00:00:00  1647MB         |  cryptomatte.dll: cryptomatte uses Arnold 5.0.1.0
00:00:00  1648MB         |  cryptomatte.dll: cryptomatte_filter uses Arnold 5.0.1.0
00:00:00  1649MB         |  cryptomatte.dll: cryptomatte_manifest_driver uses Arnold 5.0.1.0
00:00:00  1649MB         |  [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders\cryptomatte.mtd
00:00:00  1645MB         | loading plugins from //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/procedurals ...
00:00:00  1647MB         |  mtoa_ParticleInstancer_proc.dll: particleInstancer uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_ParticleVolume_proc.dll: volume_particle uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_ParticleVolume_proc.dll: implicit_particle uses Arnold 5.0.1.3
00:00:00  1646MB         |  xgenSpline_procedural.dll: xgenProcedural uses Arnold 5.0.1.3
00:00:00  1647MB         |  xgen_procedural.dll: xgen_procedural uses Arnold 5.0.1.3
00:00:00  1648MB         | loaded 122 plugins from 12 lib(s) in 0:00.65
00:00:00  1647MB         | loading plugin: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders/mtoa_shaders.dll ...
00:00:00  1648MB         |  mtoa_shaders.dll: MayaMultiplyDivide uses Arnold 5.0.1.3
00:00:00  1649MB WARNING |  node "MayaMultiplyDivide" is already installed
00:00:00  1649MB         |  mtoa_shaders.dll: MayaClamp uses Arnold 5.0.1.3
00:00:00  1646MB WARNING |  node "MayaClamp" is already installed
00:00:00  1648MB         |  mtoa_shaders.dll: MayaGammaCorrect uses Arnold 5.0.1.3
00:00:00  1647MB WARNING |  node "MayaGammaCorrect" is already installed
00:00:00  1647MB         |  mtoa_shaders.dll: MayaCondition uses Arnold 5.0.1.3
