00:00:00  3766MB WARNING | AiEnd() called when session is not started, ignoring
00:00:00  3767MB         |  mtoa_shaders.dll: MayaPlusMinusAverage3D uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaRemapValueToValue uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaRemapValueToColor uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaRemapColor uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaFile uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaPlace2DTexture uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaRamp uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaProjection uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaChecker uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaBulge uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaCloth uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaGrid uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaFractal uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaNoise uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaPlace3DTexture uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaRgbToHsv uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaHsvToRgb uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaLuminance uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaCloud uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaCloudAlpha uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaSnow uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaContrast uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaLayeredTexture uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaLayeredShader uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaSolidFractal uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaVolumeNoise uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaBrownian uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaStucco uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaRemapHsv uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaSetRange uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaImagePlane uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaSurfaceShader uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaColorToFloat uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaVectorToFloat uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaPointToFloat uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaPoint2ToFloat uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaWriteColor uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaAovWriteColor uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaWriteFloat uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaAovWriteFloat uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaEnvSphere uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaAnimFloat uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaAnimPoint uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaAnimVector uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaAnimColor uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaAnimMatrix uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaUserDataVector uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaUserDataColor uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaShadingEngine uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaSamplerInfo3D uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaAovWriteVector uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaAovWriteVector2 uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaNormalDisplacement uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaVectorDisplacement uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaUserDataBool uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaHair uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaMeshLightMaterial uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaUserDataVec2 uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaBump2D uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaFluid uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaMarble uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaMountain uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaWater uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaCrater uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaLeather uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaGranite uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaRock uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaSingleShadingSwitch uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaDoubleShadingSwitch uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaTripleShadingSwitch uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaQuadShadingSwitch uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaFluidData uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaFluidTexture2D uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaSurfaceLuminance uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MtoaCameraUvMapper uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaFlatClosure uses Arnold 5.0.1.3
00:00:00  3767MB         |  [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders\mtoa_shaders.mtd
00:00:00  3766MB         |  renderSetup_shaders.dll: applyAbsFloatOverride uses Arnold 5.0.1.3
00:00:00  3767MB         |  renderSetup_shaders.dll: applyAbs2FloatsOverride uses Arnold 5.0.1.3
00:00:00  3767MB         |  renderSetup_shaders.dll: applyAbs3FloatsOverride uses Arnold 5.0.1.3
00:00:00  3766MB         |  synColor_shaders.dll: color_manager_syncolor uses Arnold 5.0.1.3
00:00:00  3767MB         |  xgenSpline_shaders.dll: XGenHairMapping uses Arnold 5.0.1.3
00:00:00  3767MB         |  cryptomatte.dll: cryptomatte uses Arnold 5.0.1.0
00:00:00  3766MB         |  cryptomatte.dll: cryptomatte_filter uses Arnold 5.0.1.0
00:00:00  3767MB         |  cryptomatte.dll: cryptomatte_manifest_driver uses Arnold 5.0.1.0
00:00:00  3766MB         |  [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders\cryptomatte.mtd
00:00:00  3766MB         | loading plugins from //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/procedurals ...
00:00:00  3766MB         |  mtoa_ParticleInstancer_proc.dll: particleInstancer uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_ParticleVolume_proc.dll: volume_particle uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_ParticleVolume_proc.dll: implicit_particle uses Arnold 5.0.1.3
00:00:00  3766MB         |  xgenSpline_procedural.dll: xgenProcedural uses Arnold 5.0.1.3
00:00:00  3766MB         |  xgen_procedural.dll: xgen_procedural uses Arnold 5.0.1.3
00:00:00  3767MB         | loaded 122 plugins from 12 lib(s) in 0:00.40
00:00:00  3767MB         | loading plugin: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders/mtoa_shaders.dll ...
00:00:00  3766MB         |  mtoa_shaders.dll: MayaMultiplyDivide uses Arnold 5.0.1.3
00:00:00  3767MB WARNING |  node "MayaMultiplyDivide" is already installed
00:00:00  3766MB         |  mtoa_shaders.dll: MayaClamp uses Arnold 5.0.1.3
00:00:00  3766MB WARNING |  node "MayaClamp" is already installed
00:00:00  3767MB         |  mtoa_shaders.dll: MayaGammaCorrect uses Arnold 5.0.1.3
00:00:00  3767MB WARNING |  node "MayaGammaCorrect" is already installed
00:00:00  3766MB         |  mtoa_shaders.dll: MayaCondition uses Arnold 5.0.1.3
00:00:00  3767MB WARNING |  node "MayaCondition" is already installed
00:00:00  3767MB         |  mtoa_shaders.dll: MayaReverse uses Arnold 5.0.1.3
00:00:00  3766MB WARNING |  node "MayaReverse" is already installed
00:00:00  3767MB         |  mtoa_shaders.dll: MayaBlendColors uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaSamplerInfo1D uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaSamplerInfo2D uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaPlusMinusAverage1D uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaPlusMinusAverage2D uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaPlusMinusAverage3D uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaRemapValueToValue uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaRemapValueToColor uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaRemapColor uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaFile uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaPlace2DTexture uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaRamp uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaProjection uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaChecker uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaBulge uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaCloth uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaGrid uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaFractal uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaNoise uses Arnold 5.0.1.3
